 4152.1296 | 08740.9889 | 9 | 219.951970 | 358.990368 
 4152.1298 | 08740.9885 | 9 | 219.952312 | 358.990600 
 4152.1314 | 08740.9863 | 9 | 219.954190 | 358.992455 
 4152.1274 | 08740.9805 | 9 | 219.959211 | 358.987892 
 4152.1159 | 08740.9637 | 9 | 219.973756 | 358.974773 
 4152.1471 | 08741.0141 | 9 | 219.930152 | 359.010333 
 4152.1459 | 08741.0118 | 9 | 219.932140 | 359.008968 
 4152.1404 | 08741.0009 | 9 | 219.941559 | 359.002712 
 4152.1392 | 08741.0019 | 9 | 219.940710 | 359.001326 
 4152.1358 | 08740.9937 | 9 | 219.947789 | 358.997468 
 4152.1292 | 08740.9866 | 9 | 219.953951 | 358.989923 
 4152.1303 | 08740.9874 | 9 | 219.953254 | 358.991183 
 4152.1309 | 08740.9890 | 9 | 219.951873 | 358.991862 
 4152.1294 | 08740.9882 | 9 | 219.952574 | 358.990142 
 4152.1305 | 08740.9867 | 9 | 219.953854 | 358.991417 
 4152.1323 | 08740.9947 | 9 | 219.946960 | 358.993436 
 4152.1334 | 08740.9917 | 9 | 219.949530 | 358.994720 
 4152.1344 | 08740.9922 | 9 | 219.949091 | 358.995867 
 4152.1331 | 08740.9920 | 9 | 219.949274 | 358.994373 
 4152.1344 | 08740.9930 | 9 | 219.948403 | 358.995862 
 4152.1345 | 08740.9927 | 9 | 219.948660 | 358.995979 
 4152.1331 | 08740.9919 | 9 | 219.949360 | 358.994374 
 4152.1335 | 08740.9936 | 9 | 219.947895 | 358.994823 
 4152.1145 | 08740.9645 | 9 | 219.973080 | 358.973158 
 4152.1365 | 08740.9951 | 9 | 219.946579 | 358.998264 
 4152.1335 | 08740.9948 | 9 | 219.946864 | 358.994815 
 4152.1323 | 08740.9921 | 9 | 219.949195 | 358.993453 
 4152.1320 | 08740.9920 | 9 | 219.949284 | 358.993108 
 4152.1295 | 08740.9906 | 9 | 219.950509 | 358.990242 
 4152.1309 | 08740.9920 | 9 | 219.949294 | 358.991843 
 4152.1317 | 08740.9927 | 9 | 219.948685 | 358.992759 
 4152.1317 | 08740.9911 | 9 | 219.950060 | 358.992769 
 4152.1290 | 08740.9898 | 9 | 219.951202 | 358.989672 
