 4152.0327 | 08740.0083 | -5:41:14 | 220.795921 | 358.885374 | 3
 4152.0331 | 08740.0123 | -5:41:15 | 220.792478 | 358.885808 | 2
 4152.0318 | 08740.0157 | -5:41:16 | 220.789566 | 358.884290 | 2
 4152.0303 | 08740.0153 | -5:41:17 | 220.789924 | 358.882567 | 2
 4152.0335 | 08740.0144 | -5:41:18 | 220.790669 | 358.886254 | 2
 4152.0265 | 08740.0176 | -5:41:20 | 220.787980 | 358.878181 | 2
 4152.0254 | 08740.0217 | -5:41:21 | 220.784465 | 358.876888 | 2
 4152.0200 | 08740.0257 | -5:41:23 | 220.781074 | 358.870650 | 2
 4152.0197 | 08740.0280 | -5:41:24 | 220.779099 | 358.870290 | 2
 4151.9891 | 08740.0197 | -5:41:30 | 220.786508 | 358.835147 | 2
 4151.9857 | 08740.0239 | -5:41:31 | 220.782928 | 358.831208 | 2
 4151.9814 | 08740.0272 | -5:41:32 | 220.780129 | 358.826240 | 2
 4151.9794 | 08740.0363 | -5:41:33 | 220.772322 | 358.823879 | 2
 4151.9786 | 08740.0447 | -5:41:34 | 220.765107 | 358.822903 | 2
 4151.9804 | 08740.0433 | -5:41:35 | 220.766295 | 358.824983 | 2
 4151.9814 | 08740.0511 | -5:41:36 | 220.759580 | 358.826081 | 2
 4151.9787 | 08740.0595 | -5:41:37 | 220.752381 | 358.822919 | 2
 4151.9839 | 08740.0654 | -5:41:39 | 220.747262 | 358.828861 | 2
 4151.9814 | 08740.0701 | -5:41:40 | 220.743243 | 358.825954 | 2
 4151.9783 | 08740.0714 | -5:41:41 | 220.742153 | 358.822380 | 2
 4151.9764 | 08740.0728 | -5:41:42 | 220.740966 | 358.820185 | 2
 4151.9753 | 08740.0747 | -5:41:43 | 220.739343 | 358.818907 | 2
 4151.9714 | 08740.0757 | -5:41:44 | 220.738518 | 358.814414 | 2
 4151.9715 | 08740.0688 | -5:41:45 | 220.744449 | 358.814575 | 2
 4151.9683 | 08740.0727 | -5:41:46 | 220.741125 | 358.810869 | 2
 4151.9650 | 08740.0771 | -5:41:47 | 220.737371 | 358.807043 | 2
 4151.9617 | 08740.0822 | -5:41:48 | 220.733015 | 358.803214 | 2
 4151.9623 | 08740.0904 | -5:41:49 | 220.725960 | 358.803849 | 2
 4151.9612 | 08740.0935 | -5:41:50 | 220.723304 | 358.802563 | 2
 4151.9582 | 08740.0957 | -5:41:51 | 220.721439 | 358.799098 | 2
 4151.9573 | 08740.0956 | -5:41:52 | 220.721533 | 358.798063 | 2
 4151.9588 | 08740.0971 | -5:41:53 | 220.720230 | 358.799779 | 2
 4151.9586 | 08740.1027 | -5:41:54 | 220.715417 | 358.799511 | 2
 4151.9615 | 08740.1018 | -5:41:55 | 220.716165 | 358.802853 | 2
 4151.9596 | 08740.1069 | -5:41:57 | 220.711797 | 358.800634 | 2
 4151.9597 | 08740.1099 | -5:41:58 | 220.709217 | 358.800729 | 2
 4151.9614 | 08740.1116 | -5:41:59 | 220.707740 | 358.802673 | 2
 4151.9633 | 08740.1102 | -5:42:00 | 220.708927 | 358.804868 | 2
 4151.9638 | 08740.1116 | -5:42:01 | 220.707719 | 358.805433 | 2
 4151.9668 | 08740.1121 | -5:42:04 | 220.707262 | 358.808881 | 2
 4151.9677 | 08740.1149 | -5:42:05 | 220.704846 | 358.809897 | 2
 4151.9652 | 08740.1138 | -5:42:06 | 220.705814 | 358.807029 | 2
 4151.9659 | 08740.1111 | -5:42:07 | 220.708130 | 358.807852 | 2
 4151.9649 | 08740.1118 | -5:42:08 | 220.707537 | 358.806697 | 2
 4151.9648 | 08740.1122 | -5:42:10 | 220.707194 | 358.806580 | 2
 4151.9660 | 08740.1123 | -5:42:11 | 220.707097 | 358.807959 | 2
 4151.9656 | 08740.1140 | -5:42:12 | 220.705639 | 358.807488 | 2
 4151.9664 | 08740.1145 | -5:42:13 | 220.705202 | 358.808405 | 2
 4151.9652 | 08740.1158 | -5:42:15 | 220.704095 | 358.807016 | 2
 4151.9638 | 08740.1165 | -5:42:16 | 220.703505 | 358.805401 | 2
 4151.9614 | 08740.1131 | -5:42:17 | 220.706450 | 358.802663 | 2
 4151.9615 | 08740.1051 | -5:42:18 | 220.713328 | 358.802831 | 2
 4151.9622 | 08740.1064 | -5:42:19 | 220.712204 | 358.803628 | 2
 4151.9627 | 08740.1066 | -5:42:20 | 220.712027 | 358.804201 | 2
 4151.9655 | 08740.1097 | -5:42:21 | 220.709337 | 358.807401 | 2
 4151.9633 | 08740.1140 | -5:42:22 | 220.705659 | 358.804842 | 2
 4151.9636 | 08740.1132 | -5:42:23 | 220.706345 | 358.805193 | 2
 4151.9629 | 08740.1154 | -5:42:24 | 220.704459 | 358.804373 | 2
 4151.9623 | 08740.1154 | -5:42:25 | 220.704465 | 358.803683 | 2
 4151.9609 | 08740.1190 | -5:42:26 | 220.701382 | 358.802048 | 2
 4151.9611 | 08740.1214 | -5:42:27 | 220.699316 | 358.802262 | 2
 4151.9606 | 08740.1193 | -5:42:28 | 220.701127 | 358.801701 | 2
 4151.9617 | 08740.1199 | -5:42:29 | 220.700601 | 358.802963 | 2
 4151.9600 | 08740.1216 | -5:42:30 | 220.699154 | 358.800996 | 2
 4151.9602 | 08740.1233 | -5:42:31 | 220.697691 | 358.801215 | 2
 4151.9610 | 08740.1216 | -5:42:32 | 220.699145 | 358.802146 | 2
 4151.9605 | 08740.1227 | -5:42:33 | 220.698204 | 358.801564 | 2
 4151.9590 | 08740.1238 | -5:42:34 | 220.697272 | 358.799831 | 2
 4151.9595 | 08740.1227 | -5:42:35 | 220.698213 | 358.800413 | 2
 4151.9614 | 08740.1239 | -5:42:36 | 220.697164 | 358.802591 | 2
 4151.9599 | 08740.1253 | -5:42:37 | 220.695974 | 358.800856 | 2
 4151.9621 | 08740.1275 | -5:42:38 | 220.694063 | 358.803372 | 2
 4151.9635 | 08740.1286 | -5:42:39 | 220.693105 | 358.804975 | 2
 4151.9428 | 08740.0726 | -5:58:32 | 220.741438 | 358.781538 | 2
 4151.9425 | 08740.0725 | -5:58:33 | 220.741527 | 358.781193 | 2
 4151.9381 | 08740.0732 | -5:58:34 | 220.740964 | 358.776128 | 2
 4151.9378 | 08740.0738 | -5:58:35 | 220.740451 | 358.775779 | 2
 4151.9406 | 08740.0743 | -5:58:36 | 220.739996 | 358.778996 | 2
 4151.9411 | 08740.0747 | -5:58:37 | 220.739648 | 358.779568 | 2
 4151.9412 | 08740.0748 | -5:58:38 | 220.739561 | 358.779683 | 2
