 4152.2240 | 08738.8137 | 17:43:33 | 221.821262 | 359.113512 | 3
 4152.2227 | 08738.8132 | 17:43:34 | 221.821704 | 359.112020 | 3
 4152.2217 | 08738.8128 | 17:43:35 | 221.822057 | 359.110872 | 3
 4152.2206 | 08738.8125 | 17:43:36 | 221.822325 | 359.109609 | 3
 4152.2196 | 08738.8122 | 17:43:37 | 221.822592 | 359.108461 | 3
 4152.2188 | 08738.8120 | 17:43:38 | 221.822772 | 359.107542 | 3
 4152.2179 | 08738.8117 | 17:43:39 | 221.823038 | 359.106509 | 3
 4152.2169 | 08738.8113 | 17:43:40 | 221.823391 | 359.105361 | 3
 4152.2161 | 08738.8113 | 17:43:41 | 221.823398 | 359.104441 | 3
 4152.2151 | 08738.8109 | 17:43:42 | 221.823751 | 359.103294 | 3
 4152.2138 | 08738.8113 | 17:43:44 | 221.823419 | 359.101795 | 3
 4152.2146 | 08738.8121 | 17:43:45 | 221.822724 | 359.102710 | 3
 4152.2134 | 08738.8119 | 17:43:46 | 221.822907 | 359.101331 | 3
 4152.2126 | 08738.8120 | 17:43:47 | 221.822829 | 359.100410 | 3
 4152.2120 | 08738.8121 | 17:43:48 | 221.822748 | 359.099719 | 3
 4152.2114 | 08738.8123 | 17:43:49 | 221.822582 | 359.099028 | 3
 4152.2104 | 08738.8125 | 17:43:50 | 221.822419 | 359.097876 | 3
 4152.2097 | 08738.8127 | 17:43:51 | 221.822253 | 359.097070 | 3
 4152.2090 | 08738.8128 | 17:43:52 | 221.822174 | 359.096264 | 3
 4152.2093 | 08738.8137 | 17:43:53 | 221.821397 | 359.096603 | 3
 4152.2088 | 08738.8141 | 17:43:54 | 221.821058 | 359.096025 | 3
 4152.2085 | 08738.8145 | 17:43:55 | 221.820717 | 359.095677 | 3
 4152.2080 | 08738.8149 | 17:43:56 | 221.820378 | 359.095099 | 3
 4152.2078 | 08738.8155 | 17:43:57 | 221.819864 | 359.094865 | 3
 4152.2075 | 08738.8159 | 17:43:58 | 221.819522 | 359.094517 | 3
 4152.2071 | 08738.8163 | 17:43:59 | 221.819182 | 359.094054 | 3
 4152.2068 | 08738.8168 | 17:44:00 | 221.818755 | 359.093706 | 3
 4152.2065 | 08738.8172 | 17:44:01 | 221.818414 | 359.093358 | 3
 4152.2062 | 08738.8176 | 17:44:02 | 221.818073 | 359.093010 | 3
 4152.2100 | 08738.8114 | 17:44:03 | 221.823368 | 359.097424 | 3
 4152.2117 | 08738.8086 | 17:44:04 | 221.825760 | 359.099398 | 3
 4152.2118 | 08738.8082 | 17:44:05 | 221.826103 | 359.099516 | 3
 4152.2087 | 08738.8132 | 17:44:06 | 221.821833 | 359.095916 | 3
 4152.2090 | 08738.8125 | 17:44:07 | 221.822432 | 359.096266 | 3
