 4151.7345 | 08739.0210 | -5:02:59 | 221.647517 | 358.549042 
 4151.7392 | 08739.0256 | -5:03:10 | 221.643518 | 358.554416 
 4151.7372 | 08739.0255 | -5:03:11 | 221.643623 | 358.552117 
 4151.7403 | 08739.0263 | -5:03:12 | 221.642906 | 358.555677 
 4151.7368 | 08739.0251 | -5:03:13 | 221.643970 | 358.551659 
 4151.7354 | 08739.0220 | -5:03:14 | 221.646649 | 358.550070 
 4151.7364 | 08739.0200 | -5:03:15 | 221.648359 | 358.551234 
 4151.7357 | 08739.0222 | -5:03:16 | 221.646474 | 358.550414 
 4151.7398 | 08739.0245 | -5:03:17 | 221.644459 | 358.555114 
 4151.7352 | 08739.0245 | -5:03:18 | 221.644501 | 358.549823 
 4151.7360 | 08739.0238 | -5:03:19 | 221.645095 | 358.550748 
 4151.7357 | 08739.0254 | -5:03:20 | 221.643722 | 358.550392 
 4151.7350 | 08739.0251 | -5:03:21 | 221.643987 | 358.549589 
 4151.7341 | 08739.0245 | -5:03:22 | 221.644511 | 358.548558 
 4151.7357 | 08739.0232 | -5:03:23 | 221.645614 | 358.550407 
 4151.7412 | 08739.0259 | -5:03:24 | 221.643242 | 358.556715 
 4151.7406 | 08739.0261 | -5:03:25 | 221.643076 | 358.556023 
 4151.7398 | 08739.0261 | -5:03:26 | 221.643083 | 358.555103 
 4151.7402 | 08739.0262 | -5:03:27 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:28 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:29 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:30 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:31 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:32 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:33 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:34 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:35 | 221.642993 | 358.555563 
 4151.7402 | 08739.0262 | -5:03:36 | 221.642993 | 358.555563 
 4151.7398 | 08739.0272 | -5:03:37 | 221.642137 | 358.555096 
 4151.7401 | 08739.0289 | -5:03:38 | 221.640673 | 358.555429 
 4151.7407 | 08739.0316 | -5:03:39 | 221.638346 | 358.556101 
 4151.7413 | 08739.0346 | -5:03:40 | 221.635761 | 358.556770 
 4151.7398 | 08739.0393 | -5:03:41 | 221.631733 | 358.555013 
 4151.7393 | 08739.0429 | -5:03:42 | 221.628642 | 358.554413 
 4151.7390 | 08739.0456 | -5:03:43 | 221.626323 | 358.554050 
 4151.7387 | 08739.0473 | -5:03:44 | 221.624864 | 358.553693 
 4151.7386 | 08739.0485 | -5:03:45 | 221.623833 | 358.553570 
 4151.7385 | 08739.0503 | -5:03:46 | 221.622286 | 358.553442 
 4151.7384 | 08739.0532 | -5:03:47 | 221.619794 | 358.553307 
 4151.7386 | 08739.0570 | -5:03:48 | 221.616525 | 358.553512 
 4151.7388 | 08739.0613 | -5:03:49 | 221.612825 | 358.553712 
 4151.7391 | 08739.0655 | -5:03:50 | 221.609211 | 358.554029 
 4151.7395 | 08739.0694 | -5:03:51 | 221.605854 | 358.554462 
 4151.7398 | 08739.0735 | -5:03:52 | 221.602326 | 358.554779 
 4151.7401 | 08739.0779 | -5:03:53 | 221.598540 | 358.555094 
 4151.7403 | 08739.0824 | -5:03:54 | 221.594669 | 358.555293 
 4151.7407 | 08739.0866 | -5:03:55 | 221.591054 | 358.555725 
 4151.7413 | 08739.0903 | -5:03:56 | 221.587867 | 358.556390 
 4151.7433 | 08739.0969 | -5:03:58 | 221.582174 | 358.558645 
 4151.7459 | 08739.1025 | -5:04:00 | 221.577335 | 358.561598 
 4151.7477 | 08739.1054 | -5:04:01 | 221.574825 | 358.563648 
 4151.7490 | 08739.1076 | -5:04:02 | 221.572921 | 358.565129 
 4151.7508 | 08739.1101 | -5:04:03 | 221.570755 | 358.567182 
 4151.7524 | 08739.1125 | -5:04:04 | 221.568677 | 358.569006 
 4151.7539 | 08739.1135 | -5:04:05 | 221.567803 | 358.570725 
 4151.7554 | 08739.1145 | -5:04:06 | 221.566930 | 358.572443 
 4151.7570 | 08739.1151 | -5:04:07 | 221.566399 | 358.574279 
